product,color,size,initial_quantity,quantity_purchased,total_available,quantity_sold,current_stock,cost/unit,total_cost,key,,,,
full sets,purple,jumbo,12,0,12,1,11,3,36,full sets-purple-jumbo,,,,
full sets,pink,jumbo,12,0,12,0,12,3,36,full sets-pink-jumbo,,,,
full sets,brown,jumbo,12,0,12,4,8,3,36,full sets-brown-jumbo,,,,
full sets,green,jumbo,12,0,12,1,11,3,36,full sets-green-jumbo,,,,
full sets,purple,large,12,0,12,6,6,3,36,full sets-purple-large,,,,
full sets,pink,large,12,0,12,10,2,3,36,full sets-pink-large,,,,
full sets,brown,large,12,0,12,2,10,3,36,full sets-brown-large,,,,
full sets,green,large,12,0,12,3,9,3,36,full sets-green-large,,,,
full sets,purple,midi,12,0,12,1,11,3,36,full sets-purple-midi,,,,
full sets,pink,midi,12,0,12,2,10,3,36,full sets-pink-midi,,,,
full sets,brown,midi,12,0,12,1,11,3,36,full sets-brown-midi,,,,
full sets,green,midi,12,0,12,1,11,3,36,full sets-green-midi,,,,
full sets,purple,mini,12,0,12,4,8,3,36,full sets-purple-mini,,,,
full sets,pink,mini,12,0,12,1,11,3,36,full sets-pink-mini,,,,
full sets,brown,mini,12,0,12,4,8,3,36,full sets-brown-mini,,,,
full sets,green,mini,12,0,12,1,11,3,36,full sets-green-mini,,,,
single sets,purple,jumbo,3,0,3,0,3,3,9,single sets-purple-jumbo,,,,
single sets,pink,jumbo,3,0,3,1,2,3,9,single sets-pink-jumbo,,,,
single sets,brown,jumbo,3,0,3,1,2,3,9,single sets-brown-jumbo,,,,
single sets,green,jumbo,3,0,3,2,1,3,9,single sets-green-jumbo,,,,
single sets,purple,large,3,0,3,1,2,3,9,single sets-purple-large,,,,
single sets,pink,large,3,0,3,3,0,3,9,single sets-pink-large,,,,
single sets,brown,large,3,0,3,2,1,3,9,single sets-brown-large,,,,
single sets,green,large,3,0,3,0,3,3,9,single sets-green-large,,,,
single sets,purple,midi,3,0,3,1,2,3,9,single sets-purple-midi,,,,
single sets,pink,midi,3,0,3,0,3,3,9,single sets-pink-midi,,,,
single sets,brown,midi,3,0,3,0,3,3,9,single sets-brown-midi,,,,
single sets,green,midi,3,0,3,0,3,3,9,single sets-green-midi,,,,
single sets,purple,mini,3,0,3,0,3,3,9,single sets-purple-mini,,,,
single sets,pink,mini,3,0,3,1,2,3,9,single sets-pink-mini,,,,
single sets,brown,mini,3,0,3,0,3,3,9,single sets-brown-mini,,,,
single sets,green,mini,3,0,3,0,3,3,9,single sets-green-mini,,,,
Heat buns,purple,jumbo,3,0,3,2,1,3,9,heat buns-purple-jumbo,,,,
Heat buns,pink,jumbo,3,0,3,2,1,3,9,heat buns-pink-jumbo,,,,
Heat buns,brown,jumbo,3,0,3,2,1,3,9,heat buns-brown-jumbo,,,,
Heat buns,green,jumbo,3,0,3,0,3,3,9,heat buns-green-jumbo,,,,
Heat buns,purple,large,3,0,3,3,0,3,9,heat buns-purple-large,,,,
Heat buns,pink,large,3,0,3,3,0,3,9,heat buns-pink-large,,,,
Heat buns,brown,large,3,0,3,1,2,3,9,heat buns-brown-large,,,,
Heat buns,green,large,3,0,3,2,1,3,9,heat buns-green-large,,,,
Heat buns,purple,midi,3,0,3,3,0,3,9,heat buns-purple-midi,,,,
Heat buns,pink,midi,3,0,3,3,0,3,9,heat buns-pink-midi,,,,
Heat buns,brown,midi,3,0,3,3,0,3,9,heat buns-brown-midi,,,,
Heat buns,green,midi,3,0,3,3,0,3,9,heat buns-green-midi,,,,
Heat buns,purple,mini,3,0,3,0,3,3,9,heat buns-purple-mini,,,,
Heat buns,pink,mini,3,0,3,3,0,3,9,heat buns-pink-mini,,,,
Heat buns,brown,mini,3,0,3,0,3,3,9,heat buns-brown-mini,,,,
Heat buns,green,mini,3,0,3,0,3,3,9,heat buns-green-mini,,,,
scrunchies/5set,.,.,50,0,50,8,42,1.35,67.5,scrunchies/5set-.-.,,,,
korean clips/10set,.,.,25,0,25,2,23,4.64,116,korean clips/10set-.-.,,,,
flat clips/9set,.,.,40,0,40,26,14,5.21,208.4,flat clips/9set-.-.,,,,
bow tie/7set,.,.,25,0,25,3,22,5.53,138.25,bow tie/7set-.-.,,,,
