Date,Product,Color,Size,Quantity_sold,Selling_Price,Rvenue,Cost_per_unit,COGS,Profit,Key
24-May,full sets,pink,large,1,24.99,24.99,7,7,17.99,full sets-pink-large
24-May,full set,purple,large,1,24.99,24.99,7,7,17.99,full set-purple-large
24-May,full set,purple,large,1,24.99,24.99,7,7,17.99,full set-purple-large
5 of jul,single set,pink,jumbo,1,22.99,22.99,4,4,18.99,single set-pink-jumbo
5 of jul,full set,pink,midi,1,20,20,3,3,17,full set-pink-midi
6 of jul,single set,pink,large,1,22.99,22.99,4,4,18.99,single set-pink-large
6 of jul,single set,pink,large,1,20,20,3,3,17,single set-pink-large
6 of jul,single set,pink,jumbo,1,22.99,22.99,4,4,18.99,single set-pink-jumbo
6 of jul,single set,purple,large,1,20,20,3,3,17,single set-purple-large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
11 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
12 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
13 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
17 of jul,full set,purple,large,1,19.99,19.99,4,4,15.99,full set-purple-large
17 of jul,full set,brown,mini,1,19.99,19.99,4,4,15.99,full set-brown-mini
17 of jul,full set,pink,large,1,19.99,19.99,4,4,15.99,full set-pink-large
19 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set-pink-large
19 of jul,full set,purple,large,1,19.99,19.99,4,4,15.99,full set-purple-large
19 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
19 of jul,bow tie,.,.,1,11.99,11.99,5.53,5.53,6.46,bow tie-.-.
19 of jul,single set,pink,mini/large,2,16.99,33.98,3.5,7,26.98,single set-pink-mini/large
19 of jul,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns-purple-large
19 of jul,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns-pink-large
20 of jul,flat clips 9pcs,.,.,1,16.99,16.99,6.21,6.21,10.78,flat clips 9pcs-.-.
20 of jul,flat clips 9pcs,.,.,1,16.99,16.99,6.21,6.21,10.78,flat clips 9pcs-.-.
20 of jul,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
21 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
22 of jul,flat clips 9pcs,.,.,3,42.48,127.44,5.54,16.62,110.82,flat clips 9pcs-.-.
22 of jul,single set,brown,large,1,16.99,16.99,4,4,12.99,single set-brown-large
23 of jul,single and heat,purple,midi,2,36.98,73.96,3.5,7,66.96,single and heat-purple-midi
23 of jul,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns-pink-large
25 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
25 of jul,heat buns,brown,large,1,19.99,19.99,4,4,15.99,heat buns-brown-large
26 of jul,bow tie 7pcs,.,.,1,11.99,11.99,6.53,6.53,5.46,bow tie 7pcs-.-.
26 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
26 of jul,full set,purple,large,1,19.99,19.99,4,4,15.99,full set-purple-large
26 of jul,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns-purple-large
26 of jul,flat clips 9pcs,.,.,1,16.99,16.99,6.21,6.21,10.78,flat clips 9pcs-.-.
26 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
27 of jul,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns-pink-large
27 of jul,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns-purple-large
27 of jul,single set,purple,large,1,16.99,16.99,4,4,12.99,single set-purple-large
28 of jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
28 of jul,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns-purple-large
29 of jul,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
29 of jul,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns-pink-large
29 of jul,scrunchies,.,.,2,6.99,13.98,1.49,2.98,11,scrunchies-.-.
29 of jul,scrunchies,.,.,3,3.5,10.5,1.49,4.47,6.03,scrunchies-.-.
29 of jul,flat clips 5pcs,.,.,2,8.99,17.98,5.35,10.7,7.28,flat clips 5pcs-.-.
30 of jul,full set,brown,large,1,19.99,19.99,4,4,15.99,full set-brown-large
5-Aug,heat buns,pink,mini,1,19.99,19.99,4,4,15.99,heat buns-pink-mini
5-Aug,full set,pink,large,1,19.99,19.99,4,4,15.99,full set-pink-large
5-Aug,heat buns,pink,"2midi,1mini",3,19.99,59.97,3.33,9.99,49.98,"heat buns-pink-2midi,1mini"
5-Aug,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns-pink-large
14-Aug,flat clips 4pcs,.,.,1,7.99,7.99,6.21,6.21,1.78,flat clips 4pcs-.-.
4-Sep,bow tie 7pcs,.,.,1,11.99,11.99,6.53,6.53,5.46,bow tie 7pcs-.-.
4-Sep,full set,brown,large,1,19.99,19.99,4,4,15.99,full set-brown-large
25-Jul,flat clips 5pcs,.,.,1,8.99,8.99,6.21,6.21,2.78,flat clips 5pcs-.-.
