Date,Product,Color,Size,Quantity_sold,Selling_Price,Rvenue,Cost_per_unit,COGS,Profit,Key
24-May,full set,pink,large,1,24.99,24.99,7,7,17.99,full set|pink|large
24-May,full set,purple,large,1,24.99,24.99,7,7,17.99,full set|purple|large
24-May,full set,purple,large,1,24.99,24.99,7,7,17.99,full set|purple|large
5 of jul,single set,pink,jumbo,1,22.99,22.99,4,4,18.99,single set|pink|jumbo
5 of jul,full set,pink,midi,1,20,20,3,3,17,full set|pink|midi
6 of jul,single set,pink,large,1,22.99,22.99,4,4,18.99,single set|pink|large
6 of jul,single set,pink,large,1,20,20,3,3,17,single set|pink|large
6 of jul,single set,pink,jumbo,1,22.99,22.99,4,4,18.99,single set|pink|jumbo
6 of jul,single set,purple,large,1,20,20,3,3,17,single set|purple|large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
9 of jun,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
11 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
12 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
13 of jul,single set,pink,large,1,16.99,16.99,4,4,12.99,single set|pink|large
17 of jul,full set,purple,large,1,22.99,22.99,4,4,18.99,full set|purple|large
17 of jul,full set,brown,mini,1,22.99,22.99,4,4,18.99,full set|brown|mini
17 of jul,full set,pink,large,1,22.99,22.99,4,4,18.99,full set|pink|large
19 of jul,single set,pink,large,1,19.99,19.99,4,4,15.99,single set|pink|large
19 of jul,full set,purple,large,1,22.99,22.99,4,4,18.99,full set|purple|large
19 of jul,flat clips 5pcs,.,.,1,11.99,11.99,6.21,6.21,5.78,flat clips 5pcs|.|.
19 of jul,bow tie,.,.,1,11.99,11.99,5.53,5.53,6.46,bow tie|.|.
19 of jul,single set,pink,mini/large,2,37,74,3.5,7,67,single set|pink|mini/large
19 of jul,heat buns,purple,large,1,19.99,19.99,4,4,15.99,heat buns|purple|large
19 of jul,heat buns,pink,large,1,19.99,19.99,4,4,15.99,heat buns|pink|large
20 of jul,,,,,,,,,,
20 of jul,,,,,,,,,,
20 of jul,,,,,,,,,,
